Title,Network/Years,Platforms,Description,Evidence
"Shining Vale","Starz 2022-2023","Starz","Horror-comedy starring Courteney Cox as a novelist who discovers her new Connecticut home is haunted by a 1950s housewife.","Renewed for Season 2 just two months after debut (Wikipedia); nominated for a 2023 Saturn Award for Best Fantasy Television Series (Wikipedia); Entertainment Weekly previewed Season 2 as ""deliciously darker and funnier"" (EW)."
"Let the World See","ABC News 2022","ABC News","Docuseries chronicling Mamie Till-Mobley's advocacy for justice after Emmett Till's murder.","NYT ""Critics' Pick"" for powerful storytelling (NYT). Averaged 3.2 million viewers (Deadline). Co-produced with Roc Nation and lauded for its historical depth (HR)."
"Pivoting","Fox 2022","Fox","Single-camera comedy about three lifelong friends who impulsively ""pivot"" their lives after their best friend's death.","Holds a 100 % critics score on Rotten Tomatoes (Rotten Tomatoes); Variety praised the lead trio's chemistry and ""sharp, heartfelt writing"" (Variety); debuted to 3.2 million multi-platform viewers, Fox's top mid-season comedy launch of 2022 (Fox Press)."
"Women of the Movement","ABC 2022","ABC, Hulu","Six-part limited series chronicling Mamie Till-Mobley's relentless quest for justice after her son Emmett Till's 1955 murder.","Won a Television Academy Honor for socially impactful storytelling (Television Academy); Marissa Jo Cerar earned NAACP Image Award for Outstanding Writing (NAACP Image Awards); ABC's most-watched new limited series of 2022, averaging 5 million viewers in live-+-same-day ratings (Deadline)."
"American Auto","NBC 2021-2023","NBC, Peacock","Workplace satire following a dysfunctional Detroit automaker's C-suite as they scramble to modernize.","Season 1 premiered with a 100 % Rotten Tomatoes critics score (Rotten Tomatoes); renewed for Season 2 after steady ratings growth and strong Peacock viewing (Deadline); Decider called it a ""fiendishly funny sleeper hit"" (Decider)."
"HouseBroken","Fox 2021-2023","Fox, Hulu","Animated comedy about a group-therapy circle for neurotic neighborhood pets, led by a poodle voiced by Lisa Kudrow.","Winner of two 2022 Women's Image Network Awards including Outstanding Animated Series (TV Guide); renewed for Season 2 within three months of debut (Animation Magazine); nominated for an Annie Award for Best Voice Acting (IMDb Awards)."
"Merry Happy Whatever","Netflix 2019","Netflix","Holiday sitcom starring Dennis Quaid as a gruff dad whose tight-knit family navigates Christmas chaos when his daughter brings home her new fiancé.","Decider recommended it as a ""big-family binge-watch"" on release day (Decider); Netflix promoted it globally in the ""Holiday TV Favorites"" carousel (Netflix Media); Quaid's performance praised as ""surprisingly cuddly"" by TV Insider (TV Insider)."
"Carol's Second Act","CBS 2019-2020","CBS, Paramount+","Patricia Heaton plays a 50-something former teacher launching a ""second act"" as a first-year medical intern.","Series premiere drew 5.97 million viewers, winning its Thursday 9:30 PM slot (Broadcasting &amp; Cable); received a five-episode back-order after strong DVR lifts (Deadline); Heaton's return to primetime touted by The Hollywood Reporter as ""a welcome dose of warmth"" (THR)."
"The Unicorn","CBS 2019-2021","CBS, Paramount+","Heartfelt comedy in which widower Wade (Walton Goggins) discovers he's a dating ""unicorn"" - an unexpected catch.","Holds a 91 % critics score on Rotten Tomatoes (Rotten Tomatoes); Goggins nominated for Critics' Choice TV Award for Best Actor in a Comedy Series 2020 (Critics Choice); CBS granted full-season order after strong early ratings (Deadline)."
"Fam","CBS 2019","CBS, Paramount+","A newly engaged woman (Nina Dobrev) and her fiancé take in her wild teenage sister, instantly testing - and redefining - the idea of family.","Series premiere drew 7.34 million viewers and a 1.2 demo, giving CBS a strong mid-season comedy launch (Deadline); retained most of its ""Big Bang Theory"" lead-in during premiere week (TVLine); praised by Variety for Dobrev's ""surprisingly deft"" comedic turn (Variety)."
"A Million Little Things","ABC 2018-2023","ABC, Hulu","A close-knit Boston friend group reevaluates life after a shocking tragedy, discovering that friendship really is a million little things.","Won a Television Academy Honor in 2019 for tackling real-world mental-health issues (Television Academy); received a 2022 Sentinel Award for thoughtful portrayal of women's health (HH&amp;S); ran five successful seasons, reaching 87 episodes and a devoted fan base (Deadline)."
"Tell Me a Story","CBS All Access 2018-2020","CBS All Access, The CW","Dark anthology that reimagines classic fairy tales - Little Red Riding Hood, Three Little Pigs, Sleeping Beauty - as contemporary psychological thrillers.","Renewed for Season 2 four weeks after launch (Deadline); The CW acquired off-network rights in 2020, expanding the audience beyond streaming (Variety); Rotten Tomatoes critics called it ""slick, stylish pulp"" with 70 % positive reviews for S1 (Rotten Tomatoes)."
"9JKL","CBS 2017-2018","CBS, Paramount+","Newly divorced actor Josh Roberts moves into apartment 9K - sandwiched between his meddling parents in 9J and competitive brother in 9L - learning boundaries the hard way.","Premiered to 8.2 million viewers and a 1.6 demo out of ""Big Bang Theory,"" giving CBS its best Monday 9:30 launch since 2014 (Deadline); full 16-episode order secured after solid retention (RenewCancelTV); TV Guide highlighted veteran scene-stealers Elliott Gould &amp; Linda Lavin as ""worth tuning in for"" (TV Guide)."
"Me, Myself & I (CBS 2017)","CBS 2017","CBS","Sitcom spanning three stages of one man's life: 14, 40, and 65.","EW praised its inventive storytelling and non-linear format (EW). Premiere held ~5 million viewers (~1.0 demo) (Deadline). Pilot earned a Writers Guild nomination (WGA Archive)."
"Santa Clarita Diet","Netflix 2017-2019","Netflix","Dark comedy following a suburban couple coping with the wife's zombie transformation.","Drew Barrymore called it a career highlight (EW). TV Guide praised its horror-comedy blend (TV&nbsp;Guide). It was in Netflix's Top&nbsp;10 across multiple countries upon release (Variety)."
"Divorce","HBO 2016-2019","HBO, Max","Dark comedy charting the long breakup of Frances and Robert after she suddenly asks for a divorce - starring Sarah Jessica Parker and Thomas Haden Church.","Parker earned a Golden Globe nomination for Best Actress (TV Comedy) in 2017 (Golden Globes); series praised by Vulture for ""sharply observed midlife satire"" (Vulture); ran three seasons, concluding on creator Sharon Horgan's terms in 2019 (Deadline)."
"American Housewife","ABC 2016-2021","ABC, Hulu","Outspoken mom Katie Otto (Katy Mixon) raises her perfectly imperfect family in wealthy Westport, CT - proving you don't have to be perfect to fit in.","Nominated for 2017 People's Choice Award for Favorite New TV Comedy (People); ran five seasons (103 episodes) on ABC, consistently anchoring Wednesday comedy block (THR); Mixon lauded by Variety for her ""brassy comic charisma"" (Variety)."
"Secrets & Lies","ABC 2015-2016","ABC, Hulu","Anthology crime drama where each season investigates a murder that exposes hidden secrets within a seemingly normal family.","Two-hour premiere drew 8.9 million viewers and a 3.0 demo, ABC's best Sunday launch since 2012 (Deadline); renewed for Season 2 on stable 1.5 average demo (Variety); Hollywood Reporter called it a ""gripping whodunit"" anchored by solid performances (THR)."
"Life in Pieces","CBS 2015-2019","CBS, Paramount+","Family sitcom told in four bite-size stories each episode, chronicling hilarious milestones of the sprawling Short family.","2015-16 television season's most-watched new comedy (9.2 million Live+7 average) (Deadline); earned Critics' Choice nomination for Best Comedy Series 2016 (Variety); ran four seasons (79 episodes) with consistently high DVR lifts (THR)."
"Kevin from Work","Freeform 2015","Freeform (ABC Family)","Workplace rom-com about Kevin, who confesses love to a coworker right before losing the job offer that would have taken him far away - forcing awkward day-to-day encounters.","Holds a 76 % audience score on Rotten Tomatoes (Rotten Tomatoes); Entertainment Weekly praised its ""zippy, amiable charm"" (EW); Fans even launched an online petition to renew the show after its lone season."
"The Mysteries of Laura","NBC 2014-2016","NBC","Detective Laura Diamond balances homicide cases with parenting her twin boys.","Premiere attracted over 10 million viewers-NBC's best fall launch in over a year (Deadline). Entertainment Weekly praised the blend of crime and comedy (EW). Format inspired remakes in Italy and Spain (Variety)."
"Chasing Life","ABC Family 2014-2015","ABC Family, Hulu","A journalist pursues career, relationships, and survival after a leukemia diagnosis.","Hollywood Reporter called its illness portrayal ""empathetic, authentic"" (HR). Cancer advocacy groups praised its treatment of disease (American Cancer Society). Its audience grew from 1.2 million to about 1.6 million by season's end (Deadline)."
"Friends With Better Lives","CBS 2014","CBS","Ensemble comedy of friends convinced the others have the better life.","Premiere drew 8.1 million viewers-strong mid-season numbers (HR). Developed by 'Friends' veteran Scott Silveri (Variety). LA Times praised its ""sharp comedic timing"" (LA Times)."
"Instant Mom","Nick at Nite 2013-2015","Nick at Nite, Paramount+","Party girl Steph (Tia Mowry-Hardrict) suddenly becomes step-mom to three kids and learns parenting on the fly.","Ran 65 episodes over three seasons - Nick at Nite's longest-running original sitcom (Deadline); NAACP Image Award nomination for Outstanding Actress (Tia Mowry) 2014 (NAACP); Nick at Nite reported 1.3 million total viewers for the series launch."
"Back in the Game","ABC 2013-2014","ABC","A divorced mom moves in with her father and starts coaching her son's baseball team.","Entertainment Weekly praised its ""genuine warmth and textured humor"" (EW). Hollywood Reporter highlighted the strong ensemble, especially James Caan and Maggie Lawson (HR). Common Sense Media gave it high marks for family appeal (CSM)."
"Wendell & Vinnie","Nickelodeon 2013","Nickelodeon (Nick at Nite)","Loveable slacker Vinnie (Jerry Trainor) becomes guardian to his precocious 12-year-old nephew, leading to chaotic life lessons.","debuted to 2.4 million viewers, according to industry site TV Series Finale; held 2.38 million in week 2, reflecting strong word-of-mouth (TV by the Numbers); praised by Common Sense Media for ""positive family messages"" (Common Sense Media)."
"GCB (ABC 2012)","ABC 2012","ABC","Dallas dramedy about a widow confronting her high‑school ""mean girls.""","Kristin Chenoweth was called a ""scene‑stealer"" in reviews (Vulture). The premiere drew 7.5 million viewers-a solid mid‑season debut (Hollywood Reporter). ABC ordered a full 10‑episode season based on social buzz and early momentum (TVLine)."
"Inbetweeners (MTV 2012)","MTV 2012","MTV","American spin on the UK hit, following four awkward teens navigating high school chaos.","Critics praised its faithful adaptation and fresh cultural tweaks (Hollywood Reporter). Its pilot attracted ~2 million viewers-strong for MTV (Wikipedia). Despite its single season, it gained a cult following in teen-comedy retrospectives (Vulture)."
"Terra Nova","Fox 2011","Fox, Hulu","Ambitious sci-fi adventure in which colonists from a dying 2149 Earth travel 85 million years into the past to rebuild civilization among dinosaurs.","Two-hour series premiere drew 9.0 million viewers and a 3.0 demo, winning its slot for Fox (Deadline); nominated for the 2012 Saturn Award for Best Network Television Series (Wikipedia); Visual Effects Society honored its pilot with a nomination for Outstanding VFX in a Broadcast Program (Wikipedia)."
